"","AICc","dAICc","df"
"Negative_Exponential.Linear_Negative",444.579205110411,0,6
"Negative_Exponential.Quadratic",447.242740795199,2.66353568478809,7
"HOF_(Sigmoid).Linear_Negative",449.297956571662,4.7187514612512,7
"Negative_Exponential.Constant",451.902845327837,7.32364021742592,5
"HOF_(Sigmoid).Quadratic",452.085144952251,7.50593984183939,8
"Negative_Exponential.Linear_Positive",454.465164168019,9.88595905760803,6
"Asymetric_Bell-Shaped.Linear_Negative",454.693045367229,10.1138402568174,8
"HOF_(Sigmoid).Constant",455.606614553862,11.0274094434509,6
"Linear.Linear_Negative",456.933360464431,12.3541553540198,5
"Asymetric_Bell-Shaped.Quadratic",457.616111477201,13.0369063667898,9
"HOF_(Sigmoid).Linear_Positive",458.285402432214,13.7061973218026,7
"Linear.Quadratic",459.222360921558,14.6431558111469,6
"Positive_Exponential.Linear_Negative",459.318797974286,14.7395928638751,6
"Asymetric_Bell-Shaped.Constant",461.204202239695,16.6249971292841,7
"Linear.Constant",461.60622648141,17.0270213709991,4
"Positive_Exponential.Quadratic",461.77918304389,17.1999779334787,7
"Asymetric_Bell-Shaped.Linear_Positive",464.00758490308,19.4283797926683,8
"Linear.Linear_Positive",464.059510476951,19.4803053665402,5
"Positive_Exponential.Constant",464.082092674366,19.5028875639551,5
"Positive_Exponential.Linear_Positive",466.644411514208,22.0652064037963,6
"No_effect.Quadratic",495.568392889088,50.9891877786772,5
"No_effect.Linear_Negative",498.497143155214,53.9179380448025,4
"No_effect.Constant",501.113397770632,56.5341926602206,3
"No_effect.Linear_Positive",503.464461598489,58.885256488078,4
